plu;kd_brg;tipe;nm_brg;mobil ;nm_grup;kms1;isi;h_beli;h_jual1;foto;merk
1003004;DK;YA        ;YAMALUBE 4T;;OMB                 ;LT        ;1;41000;55000;C:\USERS\KASIR\DOWNLOADS\YAMALUBE 4T.JPG;YAMALUBE                                                                                            
1003005;A;YA        ;GEAR OIL XSIS;;OGD                 ;LT        ;1;9000;13000;;XSIS                                                                                                
1003006;KGI;YA;BEARING 28985YA/20;;LAHER;PCS;1;180000;325000;;KOYO
1003007;DKI;YA;SOKBEKER 18-97695557-A;;SOKBEKER;PCS;1;431000;755000;;ISUZU
1003008;DKI;YA;SOKBEKER KYKA-2620Z;;SOKBEKER;PCS;1;415000;585000;;KYB
1003009;DKL;YA;SOKBEKER 17-67000200-A;;SOKBEKER;PCS;1;410000;735000;;ISUZU
1003010;DLI;YA;SOKBEKER KYKA-2613Z;;SOKBEKER;PCS;1;405000;575000;;KYB
1003011;EI;YA;BEARING 6202-2RS;;LAHER;PCS;1;7000;30000;;BRIO
1003013;GL;YA;BEARING HB-6307NR;;LAHER;PCS;1;80000;250000;;HUBLO
1003014;IR;YA;BEARING HB-6207;;LAHER;PCS;1;53000;155000;;HUBLO
1003015;I;YA;BEARING 6201-2RS;;LAHER;PCS;1;5000;25000;;SS
1003016;I;YA;BEARING 6202-2RS;;LAHER;PCS;1;5000;25000;;SS
1003017;I;YA;BEARING 6202-2RS;;LAHER;PCS;1;5000;25000;;VRD
1003018;I;YA;BEARING 6203-2RS;;LAHER;PCS;1;5000;25000;;OZAWA
1003019;I;YA;BEARING 6203-2RS;;LAHER;PCS;1;5000;25000;;SS
1003020;I;YA;BEARING 6004-2RS;;LAHER;PCS;1;5000;25000;;SS
1003021;IA;YA        ;DELTALUBE MULTIPURPOSE 1L;;OMB                 ;PCS       ;1;59000;70000;C:\USERS\KASIR\DOWNLOADS\DELTALUBE MULTIPURPOSE 1L.PNG;DELTALUBE                                                                                           
1003022;IL;YA;BEARING 6307;;LAHER;PCS;1;50000;167000;;ASB
1003023;IR;YA;BEARING 32206;;LAHER;PCS;1;53000;155000;;HUBLO
1003024;KAL;YA;BEARING 28985R/28921R;;LAHER;PCS;1;190000;375000;;NSK
1003025;KEE;YA;SOKBEKER 7-67200200-A;;SOKBEKER;PCS;1;177000;285000;;IKYBI
1003026;KEE;YA;SOKBEKER 7-67201200-A;;SOKBEKER;PCS;1;177000;285000;;IKYBI
1003027;KEI;YA;BEARING ZA-58TKA3703B;;DRAK LAHER;PCS;1;175000;325000;;NSK
1003028;KEL;YA;BEARING HR30212J;;LAHER;PCS;1;170000;340000;;NSK
1003029;KGD;YA;SOKBEKER 7-67002200-A;;SOKBEKER;PCS;1;184000;325000;;IKYBI
1003030;RL;YA        ;XSIS OLI MESIN MOTOR MATIC;;OMB                 ;PCS       ;1;30000;35000;;XSIS                                                                                                
1003032;KL;YA;BEARING 6300-2RS;;LAHER;PCS;1;10000;30000;;SS
1003033;KL;YA;BEARING 6302-1RS;;LAHER;PCS;1;10000;35000;;HONDA
1003034;KLL;YA;DELTALUBE GEAE OLI;;OGD;PCS;1;100000;125000;;DELTALUBE
1003035;KRR;YA;BEARING 30211-1;;LAHER CANTER;PCS;1;133000;250000;;HUBLO
1003036;KTL;YA;BEARING HR32211J 19-12;;LAHER;PCS;1;160000;352000;;NSK
1003038;KUI;YA;SOKBEKER 17-67200200-A;;SOKBEKER;PCS;1;125000;350000;;ISUZU
1003039;RDL;YA        ;DELTALUBE 5L;;OMB                 ;PCS       ;1;300000;380000;C:\USERS\KASIR\DOWNLOADS\DELTALUBE.JPG;DELTALUBE                                                                                           
1003040;REI;YA;SOKBEKER KYKA-2010Z;;SOKBEKER;PCS;1;375000;575000;;KYB
1003041;RGK;YA;SOKBEKER 7-67001200-A;;SOKBEKER;PCS;1;381000;680000;;IKYBI
1003042;RGL;YA;BEARING NP-68SCRN62P;;DRAK LAHER;PCS;1;380000;750000;;NACHI 
1003043;RI;YA;BEARING 6303 -DDU;;LAHER;PCS;1;35000;75000;;NSK
1003045;RU;YA;SOKBEKER KYKA-2006Z;;SOKBEKER;PCS;1;320000;525000;;KYB
1003046;TI;YA        ;DELTALUBE SAE 10W-40;;OMB                 ;PCS       ;1;65000;80000;C:\USERS\KASIR\DOWNLOADS\DELTALUBE SAE 10W-40.JPG;DELTALUBE                                                                                           
