"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1003076","C/M KIT PS 220 B-MKC-S10","C/M KIT PS 220 B-MKC-S10","BIRKENS","1003076","130000","","aftermarket","","",""
"1003077","MASTER KOPLING C/M","MASTER KOPLING C/M","MITSHUBISI","1003077","125000","","aftermarket","","",""
"1003078","C/M KIT FUSO 6D22 ME709142","C/M KIT FUSO 6D22 ME709142","FUSO","1003078","135000","","aftermarket","","",""
"1003079","C/M KIT 13/16'' FUSO 210-31241","C/M KIT 13/16'' FUSO 210-31241","SEIKEN","1003079","125000","","aftermarket","","",""
"1003080","C/M KIT 3/4 HINO","C/M KIT 3/4 HINO","SEIKEN","1003080","295000","","aftermarket","","",""
"1003081","C/M KIT 13/16'' 6D22 SK 31241","C/M KIT 13/16'' 6D22 SK 31241","SEIKEN","1003081","135000","","aftermarket","","",""
"1003082","C/O KIT HINO RENGER 7/8 220-81581","C/O KIT HINO RENGER 7/8 220-81581","SEIKEN","1003082","150000","","aftermarket","","",""
"1003083","C/O KIT DUTRO 3/4 220-43375","C/O KIT DUTRO 3/4 220-43375","SEIKEN","1003083","95000","","aftermarket","","",""
"1003084","MASTER KOPLING C/O","MASTER KOPLING C/O","SEIKEN","1003084","75000","","aftermarket","","",""
"1003085","C/O KIT 7/8"" CUMPLUNG 220-30731","C/O KIT 7/8"" CUMPLUNG 220-30731","SEIKEN","1003085","95000","","aftermarket","","",""
"1003086","C/O KIT NKR 55 EURO 2 B-IKO-S08","C/O KIT NKR 55 EURO 2 B-IKO-S08","BIRKENS","1003086","115000","","aftermarket","","",""
"1003087","C/M KIT PANTHER 5/8 ER-6119","C/M KIT PANTHER 5/8 ER-6119","GUINE PARTS","1003087","95000","","aftermarket","","",""
"1003088","210-1899 KOPLING C/M KIT 3/4''","210-1899 KOPLING C/M KIT 3/4''","SEIKEN","1003088","150000","","aftermarket","","",""
"1003089","C/O KIT KIJANG PANTHER 220-40582","C/O KIT KIJANG PANTHER 220-40582","SEIKEN","1003089","95000","","aftermarket","","",""
